['metier', ['annee', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023'], 'effectif moyen']
Manager de proximité, maitrise;37147;37221;37090;36490;36170;35594;35373;36053;35798;34668;46749;48309;19027.58
Ingénieurs et cadres;21221;21259;21535;21520;21580;21723;21891;22333;22714;23032;23449;24220;11103.21
Agent commercial à bord des trains;5640;5460;5211;5061;4974;4724;4487;4425;4049;3905;0;0;2396.8
Conducteurs;14773;14282;14026;14054;14181;14238;14100;14340;14130;13831;0;0;7097.75
Mainteneur, Aiguilleur, Agent commercial, gestionnaire;45527;44758;43112;41709;40734;39211;36953;36353;35301;37905;0;0;20078.15
Exécution;0;0;0;0;0;0;0;0;0;0;40112;39554;19916.5
