['metier', ['annee', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020', '2021', '2022', '2023'], 'effectif moyen']
Manager de proximité, maitrise;8820;9246;9140;9131;8991;9040;8956;9586;9467;8979;9398;9670;4601.0
Ingénieurs et cadres;6964;7639;7849;7912;8088;8386;8484;9031;9173;9300;9539;7133;4326.0
Agent commercial à bord des trains;2263;2386;2315;2354;2411;2442;2372;2543;2370;2285;0;0;1187.05
Conducteurs;223;237;241;258;309;352;396;457;464;497;0;0;171.7
Mainteneur, Aiguilleur, Agent commercial, gestionnaire;11770;11540;10955;10682;10019;9587;8713;9223;8825;12205;0;0;5175.95
Exécution;0;0;0;0;0;0;0;0;0;0;10965;10817;5445.5
