métier;effectif total;effectif H;effectif F;Recrutement TOTAL;Recrutement H;Recrutement F
2012;7903;5640;2263;318;183;135
2013;7846;5460;2386;251;150;101
2014;7526;5211;2315;117;55;62
2015;7415;5061;2354;135;84;51
2016;7385;4974;2411;168;99;69
2017;7166;4724;2442;175;104;71
2018;6859;4487;2372;97;54;43
2019;6968;4425;2543;59;34;25
2020;6419;4049;2370;0;0;0
2021;6190;3905;2285;197;106;91
2022;0;0;0;0;0;0
2023;0;0;0;0;0;0
