métier;effectif total;effectif H;effectif F;Recrutement TOTAL;Recrutement H;Recrutement F
2012;14996;14773;223;458;444;14
2013;14519;14282;237;290;275;15
2014;14267;14026;241;311;298;13
2015;14312;14054;258;676;649;27
2016;14490;14181;309;875;830;45
2017;14590;14238;352;915;855;60
2018;14496;14100;396;643;594;49
2019;14797;14340;457;518;462;56
2020;14594;14130;464;374;349;25
2021;14328;13831;497;282;257;25
2022;0;0;0;0;0;0
2023;0;0;0;0;0;0
