métier;effectif total;effectif H;effectif F;Recrutement TOTAL;Recrutement H;Recrutement F
2012;57297;45527;11770;3441;2760;681
2013;56298;44758;11540;3897;3166;731
2014;54067;43112;10955;2534;2221;313
2015;52391;41709;10682;2809;2305;504
2016;50753;40734;10019;3473;2898;575
2017;48798;39211;9587;3030;2519;511
2018;45666;36953;8713;2011;1757;254
2019;45576;36353;9223;2007;1662;345
2020;44126;35301;8825;2007;1684;323
2021;50110;37905;12205;2083;1802;281
2022;0;0;0;0;0;0
2023;0;0;0;0;0;0
