métier;effectif total;effectif H;effectif F;Recrutement TOTAL;Recrutement H;Recrutement F
2012;0;0;0;0;0;0
2013;0;0;0;0;0;0
2014;0;0;0;0;0;0
2015;0;0;0;0;0;0
2016;0;0;0;0;0;0
2017;0;0;0;0;0;0
2018;0;0;0;0;0;0
2019;0;0;0;0;0;0
2020;0;0;0;0;0;0
2021;0;0;0;0;0;0
2022;51077;40112;10965;4125;3385;740
2023;50371;39554;10817;5051;4068;983
