métier;effectif total;effectif H;effectif F;Recrutement TOTAL;Recrutement H;Recrutement F
2012;45967;37147;8820;0;0;0
2013;46467;37221;9246;0;0;0
2014;46230;37090;9140;0;0;0
2015;45621;36490;9131;0;0;0
2016;45161;36170;8991;0;0;0
2017;44634;35594;9040;0;0;0
2018;44329;35373;8956;0;0;0
2019;45639;36053;9586;0;0;0
2020;45265;35798;9467;0;0;0
2021;43647;34668;8979;0;0;0
2022;56147;46749;9398;0;0;0
2023;57979;48309;9670;0;0;0
