métier;effectif total;effectif H;effectif F;Recrutement TOTAL;Recrutement H;Recrutement F
Manager de proximité, maitrise;516290;421205;95085;0;0;0
Ingénieurs et cadres;310737;230117;80620;3503;2243;1260
Agent commercial à bord des trains;65478;43908;21570;766;389;377
Conducteurs;138176;135073;3103;3260;3040;220
Mainteneur, Aiguilleur, Agent commercial, gestionnaire;440052;355894;84158;17522;14348;3174
Exécution;69481;54084;15397;0;0;0
