métier;effectif total;effectif H;effectif F;Recrutement TOTAL;Recrutement H;Recrutement F
Manager de proximité, maitrise;50796;35457;15339;0;0;0
Ingénieurs et cadres;55238;36360;18878;7450;4781;2669
Agent commercial à bord des trains;6199;4028;2171;751;480;271
Conducteurs;7213;6882;331;2082;1973;109
Mainteneur, Aiguilleur, Agent commercial, gestionnaire;65030;45669;19361;9770;8426;1344
Exécution;31967;25582;6385;9176;7453;1723
