métier;effectif total;effectif H;effectif F;Recrutement TOTAL;Recrutement H;Recrutement F
Manager de proximité, maitrise;45639;36053;9586;0;0;0
Ingénieurs et cadres;31364;22333;9031;804;521;283
Agent commercial à bord des trains;6968;4425;2543;59;34;25
Conducteurs;14797;14340;457;518;462;56
Mainteneur, Aiguilleur, Agent commercial, gestionnaire;45576;36353;9223;2007;1662;345
Exécution;0;0;0;0;0;0
