métier;effectif total;effectif H;effectif F;Recrutement TOTAL;Recrutement H;Recrutement F
Manager de proximité, maitrise;56147;46749;9398;0;0;0
Ingénieurs et cadres;32988;23449;9539;991;659;332
Agent commercial à bord des trains;0;0;0;0;0;0
Conducteurs;0;0;0;0;0;0
Mainteneur, Aiguilleur, Agent commercial, gestionnaire;0;0;0;0;0;0
Exécution;51077;40112;10965;4125;3385;740
