métier;effectif total;effectif H;effectif F;Recrutement TOTAL;Recrutement H;Recrutement F
Manager de proximité, maitrise;46467;37221;9246;0;0;0
Ingénieurs et cadres;28898;21259;7639;952;587;365
Agent commercial à bord des trains;7846;5460;2386;251;150;101
Conducteurs;14519;14282;237;290;275;15
Mainteneur, Aiguilleur, Agent commercial, gestionnaire;56298;44758;11540;3897;3166;731
Exécution;0;0;0;0;0;0
