métier;effectif total;effectif H;effectif F;Recrutement TOTAL;Recrutement H;Recrutement F
Manager de proximité, maitrise;45967;37147;8820;0;0;0
Ingénieurs et cadres;28185;21221;6964;915;584;331
Agent commercial à bord des trains;7903;5640;2263;318;183;135
Conducteurs;14996;14773;223;458;444;14
Mainteneur, Aiguilleur, Agent commercial, gestionnaire;57297;45527;11770;3441;2760;681
Exécution;0;0;0;0;0;0
