métier;effectif total;effectif H;effectif F;Recrutement TOTAL;Recrutement H;Recrutement F
Manager de proximité, maitrise;46230;37090;9140;0;0;0
Ingénieurs et cadres;29384;21535;7849;850;564;286
Agent commercial à bord des trains;7526;5211;2315;117;55;62
Conducteurs;14267;14026;241;311;298;13
Mainteneur, Aiguilleur, Agent commercial, gestionnaire;54067;43112;10955;2534;2221;313
Exécution;0;0;0;0;0;0
