métier;effectif total;effectif H;effectif F;Recrutement TOTAL;Recrutement H;Recrutement F
Manager de proximité, maitrise;57979;48309;9670;0;0;0
Ingénieurs et cadres;31353;24220;7133;1407;898;509
Agent commercial à bord des trains;0;0;0;0;0;0
Conducteurs;0;0;0;0;0;0
Mainteneur, Aiguilleur, Agent commercial, gestionnaire;0;0;0;0;0;0
Exécution;50371;39554;10817;5051;4068;983
