métier;effectif total;effectif H;effectif F;Recrutement TOTAL;Recrutement H;Recrutement F
Manager de proximité, maitrise;44634;35594;9040;0;0;0
Ingénieurs et cadres;30109;21723;8386;1115;709;406
Agent commercial à bord des trains;7166;4724;2442;175;104;71
Conducteurs;14590;14238;352;915;855;60
Mainteneur, Aiguilleur, Agent commercial, gestionnaire;48798;39211;9587;3030;2519;511
Exécution;0;0;0;0;0;0
