métier;effectif total;effectif H;effectif F;Recrutement TOTAL;Recrutement H;Recrutement F
Manager de proximité, maitrise;45621;36490;9131;0;0;0
Ingénieurs et cadres;29432;21520;7912;611;379;232
Agent commercial à bord des trains;7415;5061;2354;135;84;51
Conducteurs;14312;14054;258;676;649;27
Mainteneur, Aiguilleur, Agent commercial, gestionnaire;52391;41709;10682;2809;2305;504
Exécution;0;0;0;0;0;0
