métier;effectif total;effectif H;effectif F;Recrutement TOTAL;Recrutement H;Recrutement F
Manager de proximité, maitrise;45265;35798;9467;0;0;0
Ingénieurs et cadres;31887;22714;9173;835;549;286
Agent commercial à bord des trains;6419;4049;2370;0;0;0
Conducteurs;14594;14130;464;374;349;25
Mainteneur, Aiguilleur, Agent commercial, gestionnaire;44126;35301;8825;2007;1684;323
Exécution;0;0;0;0;0;0
