métier;effectif total;effectif H;effectif F;Recrutement TOTAL;Recrutement H;Recrutement F
Manager de proximité, maitrise;44329;35373;8956;0;0;0
Ingénieurs et cadres;30375;21891;8484;836;528;308
Agent commercial à bord des trains;6859;4487;2372;97;54;43
Conducteurs;14496;14100;396;643;594;49
Mainteneur, Aiguilleur, Agent commercial, gestionnaire;45666;36953;8713;2011;1757;254
Exécution;0;0;0;0;0;0
