métier;effectif total;effectif H;effectif F;Recrutement TOTAL;Recrutement H;Recrutement F
Manager de proximité, maitrise;43647;34668;8979;0;0;0
Ingénieurs et cadres;32332;23032;9300;710;501;209
Agent commercial à bord des trains;6190;3905;2285;197;106;91
Conducteurs;14328;13831;497;282;257;25
Mainteneur, Aiguilleur, Agent commercial, gestionnaire;50110;37905;12205;2083;1802;281
Exécution;0;0;0;0;0;0
