métier;effectif total;effectif H;effectif F;Recrutement TOTAL;Recrutement H;Recrutement F
Manager de proximité, maitrise;45161;36170;8991;0;0;0
Ingénieurs et cadres;29668;21580;8088;927;545;382
Agent commercial à bord des trains;7385;4974;2411;168;99;69
Conducteurs;14490;14181;309;875;830;45
Mainteneur, Aiguilleur, Agent commercial, gestionnaire;50753;40734;10019;3473;2898;575
Exécution;0;0;0;0;0;0
